DeM 1372,,1,,,,,,,,,2,21.1
Y&T,,10,,,,20,,,,,20,2
Yuya,1,,,3,,61,3,,,,61,2.1
Tuya,1,,,,,1,,,,,1,2.2
K&M,4,3,,99,,1545,30,50,17,2,1545,4
Hatnofer,,1,,82,,1271,24,40,18,2,1272,8
Neferkhewet,2,,,25,,375,8,13,4,,377,9
Hatiay,2,,,,,2,,,,,2,10.05
Siamun,,2,,,,4,,,,,4,10.2
Mahy (?),1,,,,,1,,,,,1,10.3
Setau,2,1,,,,4,,,,,4,11.1
Taat,2,,,,,2,,,,,2,11.2
S&N,2,1,,,1,34,,,,,34,12
M+,1,2,2,,,45,,,,,45,14
I+,4,1,1,,,26,,,,,26,16
DeM 1380,1,4,1,,,29,,,,,29,17
DeM 1381,,2,,,,4,,,,,4,18
Nu+,,3,2,,,46,,,,,46,19
SR+,,2,,,,4,,,,,4,20
DeM 1389,9,4,,,,17,,,,,17,21
Harmose,2,,,,,2,,,,,2,22
Amenhotep,1,1,,,,3,,,,,3,22.1
Tahuty,1,,,,,1,,,,,1,32.1
'18 ?',,1,,,1,2,,,,,32,31
'59d ?',1,,,,,1,,,,,1,34.82
64,1,,2,,,21,,,,,41,35.2
Tutankhamen,130,93,36,200,8,13660,,,,200,11276,1
Kha,,,1,,,50,,,,,20,4.1
Merit,,,1,,,50,,,,,20,4.2
B+,,,,25,,375,8,13,4,,375,9.2
Nubeity,,1,,,,2,,,,,2,19.05
DeM 1376,,1,,,,,,,,,2,21.5
