tomb	description	beer	wine	meat	grain	total_cost	rank
DeM 1372	Unknown - Beer?	1.0				2	21.1
Mahirper	Unknown - Wine?		1.0			30	3.0
K&M	3 Wine, 2 Grain, 1 Meats.		3.0	1.0	2.0	140	4.0
Hatnofer	Oils.			3.0		90	8.0
Neferkhewet	Wine.		1.0			30	9.0
Setau	Beer.	1.0				2	11.1
S&N	Unknown - Wine?		1.0			30	12.0
M+	Beer.	2.0				4	14.0
Nub	Beer.	1.0				2	15.0
I+	Beer.	1.0				2	16.0
DeM 1381	Beer.	1.0				2	18.0
SR+	Beer.	1.0				2	20.0
DeM 1389	Beer.	1.0				2	21.0
Tutankhamen	Wine, Sweet Wine, Pomegranet Wine		30.0			900	1.0
Renofer	Wine.		1.0			30	9.1
