tomb	flowerpot	bowl	total_cost	rank
DeM 1372	1.0	8	10	21.1
Mahirper		7	7	3.0
K&M		9	9	4.0
Hatnofer		2	2	8.0
Neferkhewet	11.0	48	70	9.0
S+		8	8	11.0
S&N		3	3	12.0
M+	8.0	5	21	14.0
Nub	2.0	8	12	15.0
I+	2.0	5	9	16.0
DeM 1380	2.0	13	17	17.0
DeM 1381	10.0	11	31	18.0
Nu+		6	6	19.0
SR+	4.0	11	19	20.0
DeM 1389	7.0	12	26	21.0
Amenhotep		3	3	22.1
Sn Woman	2.0	?	4	22.2
Tomb 37 B	1.0	5	7	40.0
Tomb 37 C		2	2	40.0
Tomb 37 E	2.0	3	7	40.0
#83 3c		1	1	36.0
Tutankhamen		12	12	1.0
# 59 f m c ?		1	1	34.8
DeM 1374		2	2	21.3
DeM 1375		6	6	21.4
DeM 1376		6	6	21.5
DeM 1377	2.0	1	5	21.6
#18 ?		1	1	31.0
