tomb	box	basket	decorated_box	total_cost	rank
Y&T	1.0		5.0	135	2.0
Mahirper			1.0	25	3.0
K&M	9.0	1.0		93	4.0
Hatnofer	3.0	7.0		51	8.0
B+	1.0			10	9.2
H+	1.0	1.0		13	10.0
S+	1.0	3.0		19	11.0
S&N	1.0			10	12.0
M+	2.0	8.0	1.0	69	14.0
Nub	4.0	3.0		49	15.0
I+		7.0		21	16.0
DeM 1380	1.0	6.0		28	17.0
DeM 1381	1.0	5.0	1.0	50	18.0
Nu+	1.0	15.0	2.0	105	19.0
SR+		7.0		21	20.0
DeM 1389		3.0		9	21.0
Petrie	1.0	2.0		16	7.0
Sn Woman		1.0		3	22.2
Tomb 37-AG	1.0	8.0		34	40.0
Tutankhamen		116.0	50.0	1598	1.0
Renofer		1.0		3	9.1
Neferkhewet	1.0	2.0		16	9.0
Boki		1.0		3	9.3
Ruyu		2.0		6	9.4
Amenemhet		1.0		3	9.5
Kha	3.0	3.0	1.0	64	4.1
Merit	1.0	2.0	1.0	41	4.2
#53 m			1.0	25	34.5
#59 f - m - c - ?		1.0		3	34.8
#78 f		2.0		6	30.2
#71 f		1.0		3	27.4
#83b c		1.0		3	36.2
DeM 1372	2.0	2.0		26	21.1
DeM 1375		1.0		3	21.4
DeM 1376	1.0	2.0		16	21.5
DeM 1377		1.0	1.0	28	21.6
DeM 1378		1.0		3	21.7
#18 ?		3.0		9	31.0
SetauAnon	1.0			10	11.4
