tomb	head	bed	chair	seat	misc	mat	total_cost	decorated	rank
Y&T	3	3.0	3.0			1.0	317.0	9.0	2.0
K&M	2	2.0	1.0	10.0	9.0	1.0	262.0	1.0	4.0
Hatnofer			1.0		1.0		50.0	1.0	8.0
Neferkhewet				1.0			8.0		9.0
H+	1						5.0		10.0
S+	2		1.0	1.0	1.0		48.0		11.0
S&N		1.0		1.0			28.0		12.0
M+		1.0		1.0			28.0		14.0
Nub		1.0					20.0		15.0
I+	1		1.0	4.0			57.0		16.0
DeM 1380	1					1.0	7.0		17.0
DeM 1389	2		2.0	1.0		1.0	60.0		21.0
Petrie	1		1.0	2.0			41.0		7.0
Harmose	1						5.0		22.0
N Man		1.0					20.0		13.0
Tomb 37 CE			1.0	2.0		1.0	38.0		40.0
'# 21 m'	1						5.0		33.1
'# 57 3?'	1						5.0		34.7
'# 64 m'	1						5.0		35.2
Tutankhamen	8	6.0	7.0	12.0	2.0		1816.0	70.0	1.0
B+				1.0			8.0		9.2
'#l 59 f m c'	 	1.0						5.0	34.8
'# 18 l'			1.0	1.0			28.0		31.0
'# 71 f'						1.0	2.0		27.4
' 70 f'	1						5.0		27.3
DeM 1375						1.0	2.0		21.4
DeM 1376						1.0	2.0		21.5
DeM 1377		1.0					20.0		21.6
