tomb	count	total_cost	shrines	papyrus	games	rank
Nub	1.0	15	1.0			15.0
Amenhotep	1.0	10				22.1
Sennofer	2.0	20				12.1
Setau	3.0	30				11.1
S+ 	1.0	10				11.0
Bakiset	1.0	10				11.3
Hatiay	1.0	10				10.05
Kha	3.0	120	1.0	1.0	1.0	4.1
Y&T	4.0	85	9.0			2.0
Yuya	11.0	190	4.0	1.0		2.1
Tuya	4.0	40				2.2
Iabtina	1.0	15	1.0			16.1
Sanimay	1.0	10				16.2
Mahirper		85		1.0	1.0	3.0
Neferkhewet		85		1.0	1.0	9.0
Renofer		25			1.0	9.1
Amenemhet		85		1.0	1.0	9.5
N Man		25			1.0	13.0
Hatnofer		180		3.0		8.0
Boki		180		3.0		9.3
Tutankhamen	414.0	4415	25.0		6.0	1.0
