Yuya,1,,1,1,432,,1,,1,1,385,,1,2.1
Tuya,1,,1,,417,,1,,1,1,370,,1,2.2
Merit,1,,,,35,,,,,,85,,1,4.2
Sennofer,1,,,,35,,,,,,85,,1,12.1
Hatiay,1,,,,35,,,,,,35,,,10.05
Hentut�u,1,,,,35,,,,,,35,,,10.1
Khay,1,,,,35,,,,,,35,,,6
Hatnofer,1,1,,,75,,,1,,,125,,1,8
N Man,1,,,,35,,,,,,35,,,13
Neferkhewet,,1,,,82,,1,,,,165,,1,9
Renofer,,1,,,82,,1,,,,165,,1,9.1
Ruyu,,1,,,82,,1,,,,165,,1,9.4
Harmose,,1,,,20,,,,,,20,,,22
Tahuty,,1,,,82,,,,,,20,,,32.1
Ahotep,,1,,,82,,,,,,20,,,32.2
Tutankhamen,1,,1,336,12212.5,4,70,,2,40,16280,4,10,1
Kha,,,,,,,,,,,50,,1,4.1
HatnoferIII,,,,,,,,,,,50,,1,23
HatnoferIV,,,,,,,,,,,50,,1,23.1
Ramose,,,,,75,,,,,,50,,1,8.1
Boki,,,,,82,,,,,,50,,1,9.3
Amenemhet,,,,,82,,,,,,50,,1,9.5
Maya,,,,,,,,,,,50,,1,14.1
M Man,,,,,,,,,,,50,,1,14.2
Nub,,,,,,,,,,,50,,1,15
DeM 1372a,,,,,,,,,,,50,,1,21.11
DeM 1372b,,,,,,,,,,,50,,1,21.12
DeM 1372c,,,,,,,,,,,50,,1,21.13
DeM 1373,,,,,,,,,,,50,,1,21.2
DeM 1374,,,,,,,,,,,50,,1,21.3
DeM 1375,,,,,,,,,,,50,,1,21.4
DeM 1377,,,,,,,,,,,50,,1,21.6
DeM 1380,,,,,,,,,,,50,,1,17
DeM 1381,,,,,,,,,,,50,,1,18
DeM 1389,,,,,,,,,,,50,,1,21
Iabtina,,,,,,,,,,,50,,1,16.1
Sanimay,,,,,,,,,,,50,,1,16.2
Nubeity,,,,,,,,,,,50,,1,19.05
NuMan,,,,,,,,,,,50,,1,19.1
NuWoman,,,,,,,,,,,50,,1,19.2
Sat-Re�,,,,,,,,,,,50,,1,20.1
SRWoman,,,,,,,,,,,50,,1,20.2
